SNP,CHR,BP,P,-log10P
rs12726330,1,155108167,0.0,300.0
rs17651483,17,44058861,0.0,300.0
rs17651243,17,44052284,0.0,300.0
rs17572361,17,44052009,0.0,300.0
rs17649866,17,44000914,0.0,300.0
rs8078495,17,44000610,0.0,300.0
rs56002706,17,44000505,0.0,300.0
rs62056804,17,43982286,0.0,300.0
rs78506181,17,43897480,0.0,300.0
rs78587102,17,43897246,0.0,300.0
rs62057111,17,43897130,0.0,300.0
rs62057110,17,43896734,0.0,300.0
rs78074121,17,43896690,0.0,300.0
rs62057109,17,43896637,0.0,300.0
rs62057108,17,43896616,0.0,300.0
rs62057073,17,43861117,0.0,300.0
rs62063784,17,44059775,0.0,300.0
rs12150515,17,44090685,0.0,300.0
rs62062266,17,44090704,0.0,300.0
rs17573858,17,44090796,0.0,300.0
rs62062267,17,44090854,0.0,300.0
rs62062268,17,44090858,0.0,300.0
rs2158257,17,44104343,0.0,300.0
rs55881134,17,44109248,0.0,300.0
rs62063783,17,44059215,0.0,300.0
rs199524,17,44848438,2.220446049250313e-16,15.653559774527022
rs7220206,17,43507403,4.440892098500626e-16,15.35252977886304
rs199525,17,44847834,4.440892098500626e-16,15.35252977886304
rs56020833,17,43509778,4.440892098500626e-16,15.35252977886304
rs7222444,17,43507649,4.440892098500626e-16,15.35252977886304
rs12949256,17,43507297,4.440892098500626e-16,15.35252977886304
rs199523,17,44848517,8.881784197001252e-16,15.05149978319906
rs4690326,4,953698,2.2470025839993468e-11,10.648396428152294
rs3813020,16,30934075,2.0439738790400952e-10,9.689524658567283
rs35675346,16,30936081,2.40179365285087e-09,8.619464307206933
rs57891859,2,135464616,4.915730045240707e-09,8.308411975069854
rs10894767,11,133811531,1.3707747381630497e-08,7.863033907727349
rs1462855,1,155053719,8.230554016108727e-08,7.08457093051788
rs62372102,5,60139881,1.1772069519189188e-07,6.9291471818671
rs34741733,5,60139548,1.9088692515545347e-07,6.71922381768964
rs2306244,4,862502,4.4181006453314353e-07,6.354764395025424
rs7274047,20,3174268,1.008359776788481e-06,5.996384486544991
rs6515773,20,3174105,1.0608584060101123e-06,5.974342578013927
rs2295548,20,3175260,1.0880845511263004e-06,5.963337355868665
rs8119219,20,3173907,1.1330502904804973e-06,5.945750813531606
rs74676292,17,48226811,1.586656303897982e-06,5.799517138453762
rs9926533,16,31014179,2.6016149077268125e-06,5.58475698749249
rs13150957,4,15683318,7.223307464832018e-06,5.141263898716064
